title;=>centrality;=>subs;=>views;=>comments;=>country;=>topics
Channels/UCZua5_v8zLTASz1KTzWlrlg;=>251.6100;=>0;=>0;=>0;=>null;=>null
Channels/UCURiyaY_cbUbq3zPbaOReVQ;=>251.6000;=>0;=>0;=>0;=>null;=>null
Channels/UCEZyH0J4eavrjV1DZdP1yGQ;=>251.5800;=>18;=>207;=>0;=>null;=>null
Channels/UCDqPu3ZQ7-cYepp0cJDZDPQ;=>251.5600;=>3;=>0;=>0;=>null;=>null
Channels/UCEwnDSEB9STZ1sqPQWTO62Q;=>251.5300;=>11;=>288;=>0;=>null;=>null
Channels/UCBhlqB3_G60oTOXxCq8DRWQ;=>251.4300;=>319;=>3318;=>0;=>null;=>null
Channels/UCha38PAZflaKL6owk1VZy9g;=>251.3700;=>2700;=>420062;=>0;=>null;=>null
Channels/UCc0GcDSX_aLwW3Q5Z1EH0PQ;=>251.2200;=>1;=>0;=>0;=>null;=>null
Channels/UCSZP3Q7ZKb232t1Jux9QkcQ;=>251.1600;=>1;=>0;=>0;=>null;=>null
Channels/UCQmaPKkld-woh4_iK6tq9Zg;=>251.1100;=>2;=>0;=>0;=>null;=>null
Channels/UCGPZzBs91UnMe9AnwHMDnLg;=>251.0400;=>12;=>76;=>0;=>null;=>null
Channels/UCWKw90JGf0y9gnTSdYf1OgA;=>251.0000;=>2;=>0;=>0;=>null;=>null
Channels/UCdT2fP58axiSjYPOJhpm0jw;=>250.9400;=>1;=>0;=>0;=>null;=>null
Channels/UCPiqvxApXGH1CaGOuseqFdg;=>250.9400;=>0;=>0;=>0;=>null;=>null
Channels/UCAHUpwafqqGI5O0RGAqW7yQ;=>250.7800;=>1;=>1;=>0;=>null;=>null
Channels/UCX4TUNNzr6Y68r2VfrUp1Lg;=>250.7700;=>0;=>0;=>0;=>null;=>null
Channels/UCNBWw_VUgypwxi8SSrxdNOw;=>250.7400;=>22;=>4710;=>0;=>null;=>null
Channels/UCkPnm8YZmYnjDyaSodj-eKQ;=>250.7300;=>1;=>96;=>0;=>null;=>null
Channels/UCYA-5rny-_pYDNQITSOMKQA;=>250.7000;=>4220;=>252418;=>0;=>null;=>null
Channels/UCG0UCZsxAA_QndiYxRHzt3A;=>250.6200;=>272;=>0;=>0;=>null;=>null
Channels/UCcTWTRDd9ozJlhQwBusBiPw;=>250.4600;=>4;=>0;=>0;=>null;=>null
Channels/UCo8wbxIbk_RWt9l1QJ3rZOA;=>250.4300;=>0;=>0;=>0;=>null;=>null
Channels/UCFmxTWrk-VQA2wWtqyG0n-w;=>250.4200;=>5;=>0;=>0;=>null;=>null
Channels/UCcydPwkhMNX28QexGuqkTvA;=>250.3600;=>1;=>30;=>0;=>null;=>null
Channels/UCwimPM0Ze69Rb55x_CkCVdg;=>250.3400;=>6;=>0;=>0;=>null;=>null
Channels/UCdhD7RWtZJHYcwEGJCOkXqg;=>250.3000;=>0;=>0;=>0;=>null;=>null
Channels/UCwnDaECK7K-97KMH_p2LH1A;=>250.2800;=>1180;=>16601;=>0;=>null;=>null
Channels/UCV0ZhJJG_weL1gJffA0OKIg;=>250.2600;=>0;=>6;=>0;=>null;=>null
Channels/UCtl-wV7GE3tcnnfAL5YhXoA;=>250.2000;=>0;=>0;=>0;=>null;=>null
Channels/UC8plqVFHPXKaWn23psVgxfA;=>250.1200;=>0;=>0;=>0;=>null;=>null
Channels/UCVPuiae7m-ziUfXMthqK35w;=>250.0600;=>0;=>0;=>0;=>null;=>null
Channels/UCfd80lZMDeiXfDQLFydzVvw;=>250.0100;=>0;=>2;=>0;=>null;=>null
Clintus.tv;=>249.9400;=>773000;=>422397913;=>0;=>US;=>https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Channels/UC8PVIJo3fvDSiO_HGkWtWUA;=>249.9000;=>1;=>0;=>0;=>null;=>null
Channels/UCgL72e6btiXivOusjLFtrpA;=>249.8600;=>0;=>0;=>0;=>null;=>null
Channels/UCIDSBOoZnRT2hLvpntSW4xw;=>249.8000;=>0;=>0;=>0;=>null;=>null
Channels/UCzjBRDT0_S0-cW1blxt2U_w;=>249.7300;=>1;=>0;=>0;=>null;=>null
Channels/UCekVzO1-owS3uYYK2ViwAng;=>249.7100;=>2;=>68;=>0;=>null;=>null
Channels/UCGZnYsAz-JH2xarLopE8EFA;=>249.6800;=>25;=>0;=>0;=>null;=>null
Channels/UCi9SmS_1kDjC8gjE46UElcw;=>249.6700;=>0;=>2;=>0;=>null;=>null
Channels/UCbvDb2W2HSoUQm0OvotF7Rg;=>249.6600;=>0;=>0;=>0;=>null;=>null
Channels/UCx0y-MBM49pLkfLbdVnRVZA;=>249.6100;=>0;=>0;=>0;=>null;=>null
Channels/UC7oV0pAZM61gJqoL5MpriMQ;=>249.4800;=>0;=>0;=>0;=>null;=>null
Channels/UCrzumcKULVbe9jgXsRJULyA;=>249.3400;=>1;=>0;=>0;=>null;=>null
Channels/UC3lFVUQ9DXfGV8bWv6in1DA;=>249.2300;=>0;=>0;=>0;=>null;=>null
Channels/UC5OuZ8qklr1SIF_J8MnLsjw;=>249.2300;=>56;=>1815;=>0;=>null;=>null
Channels/UCPCek8OR0yC3FgvqWb6bmug;=>249.2100;=>0;=>0;=>0;=>null;=>null
Life With The Stevens;=>249.1600;=>29700;=>3177462;=>0;=>null;=>https://en.wikipedia.org/wiki/Tourism,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Food
Channels/UCXdsgHBgjG7snutp7blZ9Rg;=>248.9600;=>1;=>0;=>0;=>null;=>null
Channels/UCzL8XrA_CDWSVf7t2_iMRnA;=>248.9600;=>0;=>0;=>0;=>null;=>null
Channels/UCgbxBeM1BEI1dKTHjYN_gDQ;=>248.9300;=>4;=>70;=>0;=>null;=>null
Channels/UCIKFY5uLR_XP6Ozc4_Mjj9Q;=>248.9000;=>0;=>0;=>0;=>null;=>null
Channels/UCbTGLaVCRYeNcUFH9flOxNQ;=>248.8500;=>0;=>0;=>0;=>null;=>null
Channels/UCDdITnoRsc76dt4D6OSo7VQ;=>248.7800;=>0;=>24;=>0;=>null;=>null
Channels/UC8GXQ12DPXN3CZO9xzZIQrA;=>248.7500;=>0;=>0;=>0;=>null;=>null
Channels/UCXvupu4puSIxSDy_gBFuuTA;=>248.6200;=>152;=>897;=>0;=>null;=>null
Channels/UCcBBCVtkJz9Zh7DutfnVchA;=>248.0600;=>122;=>2914;=>0;=>null;=>null
Channels/UCV6phY3tgDK_9_39E0rJhtQ;=>248.0200;=>0;=>0;=>0;=>null;=>null
Channels/UCrcPqLBwuO7KHBe2uCdiiiA;=>247.6800;=>0;=>0;=>0;=>null;=>null
Charles and Allie;=>247.6700;=>1420000;=>796988525;=>0;=>US;=>https://en.wikipedia.org/wiki/Technology,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Channels/UCHymEbcwurFH6iDsKNe9SvA;=>247.6300;=>0;=>0;=>0;=>null;=>null
Channels/UCeIsCNvS0RKLlRkdHQnCG3Q;=>247.1600;=>18;=>454;=>0;=>null;=>null
Channels/UC5NbSR7Hgf4wgHRb2GHTmUw;=>247.0000;=>0;=>0;=>0;=>null;=>null
Channels/UC5QdfaGk3NRAa-gmBOnQQfg;=>246.9400;=>1;=>15;=>0;=>null;=>null
Channels/UCwui2BK-vAlQKakTMGehISg;=>246.9300;=>4;=>90;=>0;=>null;=>null
Channels/UCmhiZoAflorOEl8-25B95Sg;=>246.8600;=>0;=>0;=>0;=>null;=>null
Channels/UCIoasry3OdxhL9xPjKVRw-A;=>246.7200;=>0;=>42;=>0;=>null;=>null
Channels/UCOM_D_7w2sCYrfsyOMBTVhg;=>246.4900;=>0;=>0;=>0;=>null;=>null
Channels/UCsce89fml3b5a8Ehyu2PHcA;=>246.2300;=>3;=>0;=>0;=>null;=>null
Channels/UC-D2YwViFRmqRgglCdICx6Q;=>246.1700;=>0;=>0;=>0;=>null;=>null
Channels/UCOW9uX4z4DjBlLxXquiOZDA;=>246.1300;=>0;=>7;=>0;=>null;=>null
Channels/UCkMWRVDt1DBZLHXnSpyEz-g;=>246.1100;=>0;=>0;=>0;=>null;=>null
Channels/UCzkbIVMHM94kqsqniwSISrw;=>246.0600;=>1;=>0;=>0;=>null;=>null
Channels/UCaqouPL5SG7yHxVw4j40H2A;=>246.0300;=>3;=>27;=>0;=>null;=>null
Channels/UCZCeqKsiNBU1nDSRktgrJUg;=>245.7700;=>83;=>1719;=>0;=>null;=>null
Channels/UCmeeQWKW9F7CBrZ9v-dkZoA;=>245.6400;=>0;=>2843;=>0;=>null;=>null
Channels/UC0WZDNg8TO0HvVUZ0H1QUWg;=>245.6000;=>23;=>2859;=>0;=>null;=>null
Channels/UCD5jS0ps24Mc5y9AVDX1AeQ;=>245.5000;=>0;=>0;=>0;=>null;=>null
Channels/UCW8s1ndvJH_IaNrqxC_Lilw;=>245.4700;=>6;=>0;=>0;=>null;=>null
Channels/UCdvEUIiXtvq53N6joDWKY9w;=>245.2500;=>26;=>16766;=>0;=>null;=>null
Channels/UC5oWP-abqoAUFen-ozFXN9g;=>245.1900;=>0;=>0;=>0;=>null;=>null
Channels/UCRUTqk4fuGUYioKxjFNsmug;=>245.1900;=>2;=>0;=>0;=>null;=>null
Channels/UCuxCUjRgvpAV24ZXQXgfsWw;=>245.1200;=>1;=>381;=>0;=>null;=>null
Channels/UCP1sqCBSMR5TOyWY5sDEtMA;=>245.0900;=>33;=>0;=>0;=>null;=>null
Channels/UCvvKmMXju_7rD0vREfK_6Aw;=>245.0000;=>0;=>0;=>0;=>null;=>null
Channels/UCjLkIzf57MyfkmyJggIeGRw;=>244.9700;=>7;=>0;=>0;=>null;=>null
Channels/UCVM4YwlzfIjhv-HrhG2eMsg;=>244.8700;=>175;=>0;=>0;=>null;=>null
Channels/UCyyOEZdt_VehI3htepW76fQ;=>244.8100;=>0;=>0;=>0;=>null;=>null
Channels/UCdTqp_jp862jlE0w1-RsKIw;=>244.7800;=>0;=>0;=>0;=>null;=>null
Channels/UC6g2SL2CNg7x1kt_JOYGeVw;=>244.6600;=>0;=>0;=>0;=>null;=>null
Channels/UC9xcISmjOMbhQwOwsCghhQg;=>244.6000;=>18;=>0;=>0;=>null;=>null
Channels/UCxK141sZT5nNIB4xHt12HRQ;=>244.5900;=>0;=>0;=>0;=>null;=>null
Channels/UC77c62hs_DeTQ3Byodot2hw;=>244.5000;=>0;=>0;=>0;=>null;=>null
Channels/UCn6EltQ7QLKBFBZbh5hsOiQ;=>244.5000;=>16;=>50;=>0;=>null;=>null
Channels/UCzO5sAPX6yp3pHX6rEDIlxQ;=>244.4800;=>1;=>0;=>0;=>null;=>null
Channels/UC7fAkgDCdzeO5C7Lyzdpxgw;=>244.4500;=>5;=>50;=>0;=>null;=>null
Channels/UCJlB3KevH-wjssB0EvE2RfA;=>244.4100;=>3;=>0;=>0;=>null;=>null
Channels/UCQqOSZTyPNVPtpzJ_a6YZjg;=>244.3700;=>0;=>0;=>0;=>null;=>null
Channels/UC9LlAn1pxjv0DpDyZdWVbHA;=>244.1500;=>0;=>0;=>0;=>null;=>null
Channels/UCMXkqiqgWyUNYeeGTeOblvg;=>244.1500;=>8;=>0;=>0;=>null;=>null
Channels/UCvqCmqIFBW10K7treQ2lDxg;=>244.0600;=>7;=>137;=>0;=>null;=>null
Channels/UCtUoiEPjjkaxndLd-U588xw;=>244.0100;=>0;=>0;=>0;=>null;=>null
Channels/UCtTV27R7VtmGSGhprdqYy4Q;=>244.0000;=>2;=>0;=>0;=>null;=>null
Channels/UCEvV1GevYREztQ7W4PSuZZA;=>243.8600;=>2;=>0;=>0;=>null;=>null
Channels/UCDOGGNrT69xofQdjNi7bjbA;=>243.7600;=>0;=>70;=>0;=>null;=>null
Channels/UCCEQRIppVw5Lp7ZqZQ3dYaA;=>243.7400;=>87;=>1820;=>0;=>null;=>null
Channels/UC2Pskks12hg4ZTLkLKq_8Bg;=>243.7300;=>38;=>319;=>0;=>null;=>null
Channels/UCeo4PBnnAAsrzDtLyHRXx4A;=>243.6300;=>0;=>0;=>0;=>null;=>null
Channels/UCED5fATpl5NXvWrZvk08gOQ;=>243.5500;=>2;=>0;=>0;=>null;=>null
Channels/UC3EUwJHhIHkj5T47Il5OGBg;=>243.5400;=>1;=>21;=>0;=>null;=>null
Channels/UC-o4kCTCxLoOcSJAafsT_qg;=>243.4600;=>0;=>0;=>0;=>null;=>null
Channels/UCnOvnXEZweCT3VTiJ-nWjyw;=>243.4100;=>0;=>0;=>0;=>null;=>null
Channels/UCCEV0D3Zrvv7D6jVVJyqoag;=>243.2000;=>0;=>0;=>0;=>null;=>null
Channels/UCsNBL2yGg0pJCVZihDC6qaw;=>243.1700;=>0;=>0;=>0;=>null;=>null
Channels/UC1nsJWkflIHZYFoK4Ze57Fg;=>243.1600;=>1;=>0;=>0;=>null;=>null
Channels/UC0fldl7PTYOtAGPAvHatFMg;=>243.0300;=>6;=>24;=>0;=>null;=>null
Channels/UCkWzZh2eOutWRGioaoKTL9g;=>243.0000;=>0;=>0;=>0;=>null;=>null
Channels/UCV281lAFBpr0FqMLHiw386w;=>242.9900;=>546;=>315450;=>0;=>null;=>null
Channels/UC3PrSN34oJUE97Le0IZKKJw;=>242.9600;=>1;=>0;=>0;=>null;=>null
Channels/UC1qIUv0wMRtioOrOuFaWcZA;=>242.9300;=>1;=>0;=>0;=>null;=>null
Channels/UCfveucEg6YFPedE-qtjqvaw;=>242.8200;=>3;=>0;=>0;=>null;=>null
Channels/UCct4Q6eW_ADnx9tsfEyc58g;=>242.7500;=>3;=>0;=>0;=>null;=>null
Channels/UC7DMCMWH5t0NhuBeeSUfZ_A;=>242.6900;=>1;=>0;=>0;=>null;=>null
Channels/UCQeKluUTIX7pmnZWdcs1xqw;=>242.6800;=>6;=>0;=>0;=>null;=>null
Hulyan Maya;=>242.6400;=>1700000;=>3128533530;=>0;=>US;=>https://en.wikipedia.org/wiki/Vehicle,https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Hobby,https://en.wikipedia.org/wiki/Tourism
Channels/UCB8TLzJzJCVOCCr4PySvfKQ;=>242.6100;=>3;=>6;=>0;=>null;=>null
Channels/UC0vaXEaE4kOMwzhhYv6LVoQ;=>242.6000;=>1100;=>0;=>0;=>null;=>null
Channels/UCAKLK7r-plRKR09BIVxlK9w;=>242.5900;=>0;=>0;=>0;=>null;=>null
Channels/UCEt0mkVwnlwTAFF3QuW51aw;=>242.5500;=>8;=>52;=>0;=>null;=>null
Channels/UCZF2AQpHtxenDfQ_xV0KMyw;=>242.5500;=>3;=>0;=>0;=>null;=>null
Channels/UCY3M1WwHh-a7zUSafh7gM2w;=>242.5400;=>20;=>222;=>0;=>null;=>null
Channels/UCZeTe0Y_CEzXFR7s7vHdKUA;=>242.5400;=>1;=>0;=>0;=>null;=>null
Channels/UCemIsrGbovny4baG_Ohw4UA;=>242.4400;=>3;=>13;=>0;=>null;=>null
Channels/UCCQwGHUn0OJ-SK5Gq13x79g;=>242.4100;=>0;=>0;=>0;=>null;=>null
Channels/UCndeHNj26H2L_7Q8HPmzlDA;=>242.3200;=>104;=>11148;=>0;=>null;=>null
Channels/UCL-bfuOWPzzqiWQSYHvgqDw;=>242.2400;=>0;=>0;=>0;=>null;=>null
Channels/UC68kRTTxZdIRBlPyJOuj4Xw;=>242.2000;=>56;=>1205;=>0;=>null;=>null
Channels/UCZ251SBim1T0AtkLN50Gomg;=>242.0900;=>5;=>0;=>0;=>null;=>null
Channels/UCEZc2MhYb73xaIF0vBHSeww;=>242.0400;=>3;=>77;=>0;=>null;=>null
Channels/UCQepSTR3G5OW9ajWYhc4ZMw;=>242.0400;=>0;=>2;=>0;=>null;=>null
Channels/UCW937Bk02cKHKjl3_Z4CmYg;=>242.0300;=>0;=>0;=>0;=>null;=>null
Channels/UC0cm1MT6fUocI-SNUYwaliQ;=>241.9300;=>2;=>68;=>0;=>null;=>null
Channels/UCVGdHKAMtYkj7FbA8PQ0hZg;=>241.9100;=>114;=>2710;=>0;=>null;=>null
Channels/UC4bEwKBweG7tQNcOkM__Dng;=>241.8200;=>1;=>0;=>0;=>null;=>null
Channels/UCl6B87yCOUwaIqpnUOkcrlA;=>241.7900;=>0;=>0;=>0;=>null;=>null
Channels/UCeR58yI4mk4DObHgcMJuSTQ;=>241.7300;=>937;=>9877;=>0;=>null;=>null
Channels/UCKBsNp8m2n7liflUhyPzz-g;=>241.7200;=>52;=>475;=>0;=>null;=>null
JeffMara;=>241.7100;=>545000;=>810980185;=>0;=>US;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Entertainment,https://en.wikipedia.org/wiki/Music
Channels/UCDac64-Lk2AnT0uJODJVyGA;=>241.7000;=>0;=>0;=>0;=>null;=>null
Channels/UCosobIN431QRQD8sf_jtvwg;=>241.6700;=>0;=>0;=>0;=>null;=>null
Channels/UC59inI46nvuPxuuQnTU8vOg;=>241.6000;=>1;=>4;=>0;=>null;=>null
Channels/UC8b90VkvS-BQOPnlFIMvztA;=>241.5500;=>3;=>0;=>0;=>null;=>null
Channels/UC2f0wRAt2i0f90bzBvsLw5w;=>241.4700;=>2820;=>387557;=>0;=>null;=>null
Channels/UCcddvpi5D3kMLge5SbIglKw;=>241.3600;=>9;=>99;=>0;=>null;=>null
Channels/UC0b5vF5Ji0ijgnhPmrgFsRQ;=>241.3500;=>30;=>1024;=>0;=>null;=>null
Channels/UCTsBlEZT_okI85vAEul5Nyw;=>241.3400;=>0;=>0;=>0;=>null;=>null
Channels/UCu1Twh5Jt2WU0TIuqQWgs5g;=>241.1900;=>1;=>0;=>0;=>null;=>null
Channels/UCrraH35amm8hMHvgYv-3mKA;=>241.1600;=>12;=>308;=>0;=>null;=>null
Channels/UCv31nD9AYiFtAeX9Vwd8Uww;=>241.1200;=>64;=>262;=>0;=>null;=>null
Channels/UCadva0q8lTCg4RSpTR9KnZA;=>241.0200;=>0;=>13;=>0;=>null;=>null
Channels/UC65cKO92joYtRu_m7shn4wA;=>240.9200;=>0;=>0;=>0;=>null;=>null
Channels/UC6wfR44BNI0MZ324Ej8-XPw;=>240.9200;=>1740;=>268703;=>0;=>null;=>null
Channels/UC4eSGAobYRbcpfbkAj5UGmg;=>240.8200;=>1;=>34;=>0;=>null;=>null
Prankster Kids Family Fun;=>240.7400;=>26400;=>7471812;=>0;=>GB;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Pet
Channels/UC10w2-ncm9Dp9S24cd5HhLA;=>240.7200;=>0;=>0;=>0;=>null;=>null
Channels/UC7KIoNPPT41yproPmMkLtBA;=>240.6600;=>15;=>295;=>0;=>null;=>null
Channels/UClbE5roRs-U3pqeMkxp75lQ;=>240.6600;=>12;=>518;=>0;=>null;=>null
Channels/UCi7xcUd8Yr2SedK1IRCL1OQ;=>240.4700;=>0;=>0;=>0;=>null;=>null
Channels/UCHlxNzDdFKOGq-VlNXd2lAQ;=>240.1800;=>0;=>0;=>0;=>null;=>null
Channels/UCOYM3gk9wOThSxKWSLnadwQ;=>240.1800;=>2;=>0;=>0;=>null;=>null
Channels/UCM2FxPf7TC3T9tw1Cwul4GQ;=>240.1400;=>0;=>0;=>0;=>null;=>null
Channels/UCtQ_p8vR4s-pTG9abQXOiYA;=>240.0700;=>16;=>6982;=>0;=>null;=>null
Channels/UCah7xLyFdPrsYtTo_odYkCg;=>240.0600;=>0;=>9;=>0;=>null;=>null
Channels/UCxBH1MncSZydH2ufOiYmr8w;=>240.0400;=>0;=>0;=>0;=>null;=>null
Channels/UC1pnm8UdoHxpgRk0HX61ssw;=>239.8600;=>13;=>136;=>0;=>null;=>null
Channels/UCrZdBMgEnC-_QuC02ULF_bg;=>239.7400;=>0;=>0;=>0;=>null;=>null
Channels/UCMdmERBK06zxkam8Nt75L3Q;=>239.6900;=>1;=>0;=>0;=>null;=>null
Channels/UC0oFENZ1kfhaC5rh_UkiqVA;=>239.6700;=>0;=>0;=>0;=>null;=>null
Channels/UCEvcA9HouOB3IRaV65tfhiA;=>239.6600;=>0;=>0;=>0;=>null;=>null
Channels/UCKdpWKCmBQ5bO_qf1orNweQ;=>239.5600;=>0;=>0;=>0;=>null;=>null
Channels/UCkw-m4x9qzATW5r4gomr1BA;=>239.5200;=>0;=>28;=>0;=>null;=>null
Channels/UCK_J0VpIBROKsmpSkS8S-SQ;=>239.5000;=>0;=>0;=>0;=>null;=>null
Family Fun;=>239.4800;=>472000;=>318867392;=>0;=>DE;=>https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Food
Channels/UC_Ol0a2U3Tt5a_MD504BuQA;=>239.4000;=>2;=>84;=>0;=>null;=>null
Die Imhofs;=>239.3400;=>34500;=>2752912;=>0;=>DE;=>https://en.wikipedia.org/wiki/Tourism,https://en.wikipedia.org/wiki/Lifestyle_(sociology)
Channels/UCu_Dv2tWMq-kop4w7F5SO6Q;=>239.2300;=>260;=>0;=>0;=>null;=>null
Channels/UC_OAhTThvs9b0mfoEC6fUTA;=>239.1900;=>2;=>0;=>0;=>null;=>null
Channels/UCNWYhZfzH_mN7QvYIGKcZwQ;=>239.1500;=>96;=>4790;=>0;=>null;=>null
Channels/UCk8JeKle10-1Bac9oMs03hw;=>239.1100;=>0;=>0;=>0;=>null;=>null
Channels/UCPf8t410V9qj_XrJF-yWVxQ;=>239.0200;=>0;=>0;=>0;=>null;=>null
Channels/UCZuQo7pr9Q57Ko-x7NJtzcw;=>239.0200;=>0;=>1;=>0;=>null;=>null
Channels/UCdUHPri4NjOHqO0ci-HdWkg;=>238.8700;=>18;=>0;=>0;=>null;=>null
Channels/UC2c32MvCTp43djS1zM805CQ;=>238.8400;=>2;=>13;=>0;=>null;=>null
Channels/UCifYH8J9zIoDNVGuewCZnPA;=>238.7800;=>191;=>9295;=>0;=>null;=>null
Channels/UCmJ_CpHQSlI_Lflkar-CWxQ;=>238.5200;=>0;=>0;=>0;=>null;=>null
Channels/UCzO-0skTFhqOgsP8A2W3-Mw;=>238.4300;=>44;=>1116;=>0;=>null;=>null
Channels/UCQ69yEUaOidK-gPYWlU1GOw;=>238.4200;=>53;=>9466;=>0;=>null;=>null
Channels/UC7ibVbkxW6yiCZQpIrvID7A;=>238.4100;=>0;=>0;=>0;=>null;=>null
Channels/UC3-8hLWTwVQGn8BhwCEfxaQ;=>238.2900;=>2;=>0;=>0;=>null;=>null
Channels/UC7QRoDhoB2blMJSKd7om_SQ;=>238.1700;=>3;=>37;=>0;=>null;=>null
Channels/UCjR6aRc8lXSOdx5kJ2tRNHQ;=>237.9500;=>0;=>0;=>0;=>null;=>null
Channels/UCF8Dx1x_rdZhDuVcqvGmyIQ;=>237.8900;=>26;=>1016;=>0;=>null;=>null
Channels/UCc1hfvZD7fl-89IzLRnMk0Q;=>237.8400;=>0;=>0;=>0;=>null;=>null
Channels/UCddKET6QHByb8_U9ZELT2XQ;=>237.7900;=>36;=>0;=>0;=>null;=>null
Channels/UCure9YC8v_chemuXbDjhmUg;=>237.6600;=>3;=>0;=>0;=>null;=>null
Channels/UCfLhNjAkkHlF4saQXK5W_pA;=>237.6300;=>1;=>0;=>0;=>null;=>null
Channels/UCca5t69orTAJZyN0W9G4jwg;=>237.5800;=>0;=>0;=>0;=>null;=>null
Channels/UCaxylEAZBRwMwYgF_D3TYNw;=>237.4800;=>10;=>5446;=>0;=>null;=>null
Channels/UCreZKT7fBhmToqzJ16l31dQ;=>237.4700;=>1;=>0;=>0;=>null;=>null
Channels/UChNO73vI_SriGY4WGdxs46A;=>237.4500;=>0;=>0;=>0;=>null;=>null
Channels/UCcQyygsrfPdMUExa9D0lQgw;=>237.3800;=>0;=>0;=>0;=>null;=>null
Channels/UC-1-zhTxzjjOZucwBeot_pg;=>237.3300;=>15;=>125;=>0;=>null;=>null
Channels/UCQJFtom8uFc9Pzd3GIdlQyQ;=>237.2800;=>0;=>0;=>0;=>null;=>null
Channels/UCij56IY0OYr4yofCBUgcb6A;=>237.2200;=>1;=>0;=>0;=>null;=>null
Channels/UCZ9o3GDmYYmTkIZQDJ8o3fg;=>237.1300;=>0;=>0;=>0;=>null;=>null
Channels/UCumC-lFw8eBN_t3yhnPHfdA;=>236.7700;=>1;=>0;=>0;=>null;=>null
Channels/UCBcg9xBJTl3Ql5nR3bWVwYQ;=>236.7400;=>0;=>35;=>0;=>null;=>null
Channels/UCXnIEBj7GVvqug8bl46Rpmg;=>236.6100;=>448;=>715528;=>0;=>null;=>null
Channels/UClADQL71mxWR8ctRebfgtKA;=>236.6000;=>0;=>0;=>0;=>null;=>null
Channels/UCcYlg4DGFI2kZoUnPeUE99w;=>236.4900;=>863;=>55213;=>0;=>null;=>null
Channels/UC4v7uTjra77SVEiZJbc1tkg;=>236.4200;=>9;=>37;=>0;=>null;=>null
Channels/UCctT_ARIcCkE8KH-HGMMP0A;=>236.3700;=>1;=>0;=>0;=>null;=>null
Channels/UCIXY0-5-YkPM4v5lWzHYnjw;=>236.3300;=>54;=>0;=>0;=>null;=>null
Channels/UCZ0EojAjoeU18dXUJZaGeSA;=>236.3300;=>0;=>0;=>0;=>null;=>null
Channels/UC8qDvvPAoE8yytCgUdbF3dw;=>236.2900;=>47;=>0;=>0;=>null;=>null
Channels/UCWI6H4WIJbxAHYy2T2EhFZw;=>236.1200;=>0;=>0;=>0;=>null;=>null
Channels/UCxfThOzcApwFGrem5baRx-g;=>235.8700;=>16;=>3467;=>0;=>null;=>null
Channels/UCxMhwUQDnm5971wugk3fzmg;=>235.8700;=>0;=>0;=>0;=>null;=>null
Channels/UC-QKKKkNV4dqso29zPhyFag;=>235.8100;=>0;=>0;=>0;=>null;=>null
Channels/UClBj6mAkl0WC9qJ4ZgkY47g;=>235.7900;=>8;=>145;=>0;=>null;=>null
Channels/UCjeMQ7q0EsjojKouVM-M6LA;=>235.7100;=>18;=>122;=>0;=>null;=>null
Channels/UCoRWE3KPcXOfC4HseQZbGlQ;=>235.5600;=>0;=>134;=>0;=>null;=>null
The Good Life;=>235.4800;=>126000;=>30137629;=>0;=>null;=>https://en.wikipedia.org/wiki/Food,https://en.wikipedia.org/wiki/Lifestyle_(sociology),https://en.wikipedia.org/wiki/Tourism
Channels/UCd6k61ERGeMuEdf-_vvBoBQ;=>235.4000;=>0;=>0;=>0;=>null;=>null
Channels/UCWSXUD5D7s-m_bCbgkZua0w;=>235.3800;=>5;=>109;=>0;=>null;=>null
Channels/UCY-3MVdailC-oGNv93FoUVg;=>235.3000;=>4;=>0;=>0;=>null;=>null
Channels/UCEA0oXMWGBpLAia0WmwvbVg;=>235.2100;=>0;=>0;=>0;=>null;=>null
Channels/UCR0rkGxPsw53T0G8-cQf6sQ;=>235.0300;=>0;=>0;=>0;=>null;=>null
Channels/UC3SC0ExnztIRbhj4wTO1qFw;=>234.9900;=>0;=>0;=>0;=>null;=>null
Channels/UCrcLtRrEUMl_XY0tDCJEMWA;=>234.9500;=>0;=>0;=>0;=>null;=>null
Channels/UCcMi63qznaUptbgma7CYfEQ;=>234.9400;=>0;=>0;=>0;=>null;=>null
Channels/UCJ4SI4kkBrrSsZo7jaQJAQA;=>234.7500;=>0;=>0;=>0;=>null;=>null
Channels/UC8qZ-FB9C1RVgVDgf6ytdKg;=>234.7100;=>1;=>0;=>0;=>null;=>null
Channels/UCSoymdcVvgSDoT7DyXPlMNA;=>234.7000;=>35;=>1446;=>0;=>null;=>null
Channels/UCWtQr0E01pXudVEdwJiwpqw;=>234.6500;=>0;=>0;=>0;=>null;=>null
